Pixar Animation Studios,pixar animation studios
TriStar Pictures,tristar pictures
Regency Enterprises,regency enterprises
New Line Cinema,new line cinema
Blue Parrot Productions,blue parrot productions
Miramax Films,miramax films
A Band Apart,a band apart
Icon Entertainment International,icon entertainment international
Imagine Entertainment,imagine entertainment
Twentieth Century Fox Film Corporation,twentieth century fox film corporation
Columbia Pictures,columbia pictures
United Artists,united artists
Universal Pictures,universal pictures
Lucasfilm,lucasfilm
Castle Rock Entertainment,castle rock entertainment
Caravan Pictures,caravan pictures
Paramount Pictures,paramount pictures
Walt Disney Pictures,walt disney pictures
Gaumont,gaumont
Shaw Brothers,shaw brothers
Tim Burton Productions,tim burton productions
Davis-Films,davis-films
Lightstorm Entertainment,lightstorm entertainment
PolyGram Filmed Entertainment,polygram filmed entertainment
Walt Disney Productions,walt disney productions
,null
RKO Radio Pictures,rko radio pictures
Stanley Kubrick Productions,stanley kubrick productions
Orion Pictures,orion pictures
Keith Barish Productions,keith barish productions
Act III Communications,act iii communications
Hawk Films,hawk films
Winkler Films,winkler films
Touchstone Pictures,touchstone pictures
Davis-Panzer Productions,davis-panzer productions
American Zoetrope,american zoetrope
Morgan Creek Productions,morgan creek productions
Amblin Entertainment,amblin entertainment
Eon Productions,eon productions
Gramercy Pictures,gramercy pictures
